FECHA,Suma_FOB_miles
01-ene-22,1947347296
01-ene-21,974903641
01-feb-21,971366854
01-mar-21,1114113658
01-abr-21,1353133639
01-may-21,1923065541
01-jun-21,1777325005
01-jul-21,1938634521
01-ago-21,2073140556
01-sep-21,1475871238
01-oct-21,1782326366
01-nov-21,1737744045
01-dic-21,1706358569
01-ene-20,1491184846
01-feb-20,901163204
01-mar-20,1172755031
01-abr-20,1044832377
01-may-20,885919732
01-jun-20,894349493
01-jul-20,831891525
01-ago-20,1187615706
01-sep-20,1236379772
01-oct-20,1059113044
01-nov-20,1119024527
01-dic-20,1009185799
01-ene-19,1031146584
01-feb-19,1035277798
01-mar-19,1124912756
01-abr-19,1003826032
01-may-19,1210207713
01-jun-19,1021291238
01-jul-19,1004854690
01-ago-19,1170929319
01-sep-19,956120068
01-oct-19,992105528
01-nov-19,1030765718
01-dic-19,1656435938
01-ene-18,855415055
01-feb-18,927854871
01-mar-18,1005619300
01-abr-18,1239004289
01-may-18,1236108859
01-jun-18,1110921171
01-jul-18,944382543
01-ago-18,994942445
01-sep-18,970298693
01-oct-18,932728799
01-nov-18,1041170047
01-dic-18,1064877692
01-ene-17,767151797
01-feb-17,708421598
01-mar-17,896224766
01-abr-17,802029883
01-may-17,800656044
01-jun-17,1070660203
01-jul-17,930467974
01-ago-17,855488344
01-sep-17,778892769
01-oct-17,807909814
01-nov-17,948998121
01-dic-17,957484228
01-ene-16,4813097955
01-feb-16,4237318097
01-mar-16,2964742224
01-abr-16,3283754359
01-may-16,3091274004
01-jun-16,3395537011
01-jul-16,4169734968
01-ago-16,135050696
01-sep-16,1018401227
01-oct-16,839754290
01-nov-16,811455769
01-dic-16,1065192950
01-ene-15,4049892070
01-feb-15,3943664118
01-mar-15,3360175218
01-abr-15,3366848344
01-may-15,3674559360
01-jun-15,3339628454
01-jul-15,4338870456
01-ago-15,3070440636
01-sep-15,2492986947
01-oct-15,3128051410
01-nov-15,2662262329
01-dic-15,4213110617
01-ene-14,4575617691
01-feb-14,3031209732
01-mar-14,2568051000
01-abr-14,2744418534
01-may-14,3231959168
01-jun-14,2942453277
01-jul-14,4131181002
01-ago-14,2574471679
01-oct-14,2792252874
01-nov-14,2599039371
01-dic-14,3678184633
01-ene-13,1035112315
01-feb-13,3105907925
01-mar-13,3059868202
01-abr-13,2953475754
01-may-13,3277345657
