FECHA,Suma_FOB_miles
1-Jan-22,1947347296
1-Jan-21,974903641
1-Feb-21,971366854
1-Mar-21,1114113658
1-Apr-21,1353133639
1-May-21,1923065541
1-Jun-21,1777325005
1-Jul-21,1938634521
1-Aug-21,2073140556
1-Sep-21,1475871238
1-Oct-21,1782326366
1-Nov-21,1737744045
1-Dec-21,1706358569
1-Jan-20,1491184846
1-Feb-20,901163204
1-Mar-20,1172755031
1-Apr-20,1044832377
1-May-20,885919732
1-Jun-20,894349493
1-Jul-20,831891525
1-Aug-20,1187615706
1-Sep-20,1236379772
1-Oct-20,1059113044
1-Nov-20,1119024527
1-Dec-20,1009185799
1-Jan-19,1031146584
1-Feb-19,1035277798
1-Mar-19,1124912756
1-Apr-19,1003826032
1-May-19,1210207713
1-Jun-19,1021291238
1-Jul-19,1004854690
1-Aug-19,1170929319
1-Sep-19,956120068
1-Oct-19,992105528
1-Nov-19,1030765718
1-Dec-19,1656435938
1-Jan-18,855415055
1-Feb-18,927854871
1-Mar-18,1005619300
1-Apr-18,1239004289
1-May-18,1236108859
1-Jun-18,1110921171
1-Jul-18,944382543
1-Aug-18,994942445
1-Sep-18,970298693
1-Oct-18,932728799
1-Nov-18,1041170047
1-Dec-18,1064877692
1-Jan-17,767151797
1-Feb-17,708421598
1-Mar-17,896224766
1-Apr-17,802029883
1-May-17,800656044
1-Jun-17,1070660203
1-Jul-17,930467974
1-Aug-17,855488344
1-Sep-17,778892769
1-Oct-17,807909814
1-Nov-17,948998121
1-Dec-17,957484228
1-Jan-16,4813097955
1-Feb-16,4237318097
1-Mar-16,2964742224
1-Apr-16,3283754359
1-May-16,3091274004
1-Jun-16,3395537011
1-Jul-16,4169734968
1-Aug-16,135050696
1-Sep-16,1018401227
1-Oct-16,839754290
1-Nov-16,811455769
1-Dec-16,1065192950
1-Jan-15,4049892070
1-Feb-15,3943664118
1-Mar-15,3360175218
1-Apr-15,3366848344
1-May-15,3674559360
1-Jun-15,3339628454
1-Jul-15,4338870456
1-Aug-15,3070440636
1-Sep-15,2492986947
1-Oct-15,3128051410
1-Nov-15,2662262329
1-Dec-15,4213110617
1-Jan-14,4575617691
1-Feb-14,3031209732
1-Mar-14,2568051000
1-Apr-14,2744418534
1-May-14,3231959168
1-Jun-14,2942453277
1-Jul-14,4131181002
1-Aug-14,2574471679
1-Oct-14,2792252874
1-Nov-14,2599039371
1-Dec-14,3678184633
1-Jan-13,1035112315
1-Feb-13,3105907925
1-Mar-13,3059868202
1-Apr-13,2953475754
1-May-13,3277345657
1-Jun-13,3344019354
1-Jul-13,3046924710
1-Aug-13,2869142145
1-Sep-13,2319370431
1-Oct-13,2702564131
1-Nov-13,2488865027
1-Dec-13,3230853119
1-Jan-12,2890951330
1-Feb-12,3562705474
1-Mar-12,3504367760
1-Apr-12,2559548674
1-May-12,2647499854
1-Jun-12,3042167151
1-Jul-12,3036672382
1-Aug-12,2315548655
1-Sep-12,1522085199
1-Oct-12,1652695722
1-Nov-12,2503361873
1-Dec-12,2878236217
1-Jan-11,4202367259
1-Feb-11,3566128010
1-Mar-11,3499275622
1-Apr-11,3799921095
1-May-11,2866754925
1-Jun-11,2969821348
1-Jul-11,3011359073
1-Aug-11,2721624358
1-Sep-11,2982947359
1-Oct-11,2437036500
1-Nov-11,2868792805
1-Dec-11,3765504614
1-Jan-10,3162723000
1-Feb-10,3825926800
1-Mar-10,3651928800
1-Apr-10,3881627900
1-May-10,3633580400
1-Jun-10,3512341800
1-Jul-10,3994266500
1-Aug-10,2934563700
1-Sep-10,2888493100
1-Oct-10,3354261000
1-Nov-10,2594090200
1-Dec-10,3994263100
1-Jan-09,3575214800
1-Feb-09,3390291000
1-Mar-09,3804851300
1-Apr-09,3601994900
1-May-09,3998620100
1-Jun-09,3040924900
1-Jul-09,4194076300
1-Aug-09,3324139300
1-Sep-09,2377649600
1-Oct-09,3097641600
1-Nov-09,2515495900
1-Dec-09,4433278800
1-Jan-08,2530493400
1-Feb-08,2745679900
1-Mar-08,2893000300
1-Apr-08,1949373600
1-May-08,2736620300
1-Jun-08,2678627200
1-Jul-08,2096999100
1-Aug-08,2228371100
1-Sep-08,1491522900
1-Oct-08,1827314100
1-Nov-08,2083032800
1-Dec-08,2679923200
1-Jan-07,2108075900
1-Feb-07,2081214800
1-Mar-07,2200462700
1-Apr-07,1640995600
1-May-07,2182524300
1-Jun-07,2116103400
1-Jul-07,2156341200
1-Aug-07,2004211200
1-Sep-07,1703432100
1-Oct-07,1904867100
1-Nov-07,2082561600
1-Dec-07,2163543200
1-Jan-06,2324520400
1-Feb-06,2674290800
1-Mar-06,2818190900
1-Apr-06,2574607900
1-May-06,2292788100
1-Jun-06,2533743700
1-Jul-06,1793340100
1-Aug-06,1938462200
1-Sep-06,2242805500
1-Oct-06,1805692800
1-Nov-06,1847561500
1-Dec-06,2556579600
1-Jan-05,1734820700
1-Feb-05,1968734400
1-Mar-05,1659891900
1-Apr-05,1774801600
1-May-05,1832878600
1-Jun-05,1891131100
1-Jul-05,1940265400
1-Aug-05,1671309300
1-Sep-05,2082057900
1-Oct-05,1560048700
1-Nov-05,1807071500
1-Dec-05,2396454900
1-Jan-04,2126470200
1-Feb-04,1742510600
1-Mar-04,1385411900
1-Apr-04,2002410400
1-May-04,1553668800
1-Jun-04,1947940900
1-Jul-04,2165218600
1-Aug-04,1524101900
1-Sep-04,1531939100
1-Oct-04,1394609600
1-Nov-04,1520660300
1-Dec-04,1555279100
1-Jan-03,1818901300
1-Feb-03,2174695700
1-Mar-03,2166757700
1-Apr-03,2213077000
1-May-03,2154358500
1-Jun-03,2037495100
1-Jul-03,1913434800
1-Aug-03,1792658900
1-Sep-03,1744781000
1-Oct-03,1396097600
1-Nov-03,1478730700
1-Dec-03,1168387200
1-Jan-02,1690767900
1-Feb-02,1918863000
1-Mar-02,2517058200
1-Apr-02,1901764600
1-May-02,2508205300
1-Jun-02,2222574000
1-Jul-02,2174551500
1-Aug-02,1790890400
1-Sep-02,1635527600
1-Oct-02,1548855200
1-Nov-02,1612119700
1-Dec-02,2001814800
1-Jan-01,2081776000
1-Feb-01,2082871600
1-Mar-01,2370242700
1-Apr-01,1826770300
1-May-01,1898100300
1-Jun-01,1590351100
1-Jul-01,2008706800
1-Aug-01,1744445500
1-Sep-01,1492117100
1-Oct-01,1467232600
1-Nov-01,1739367600
1-Dec-01,1806464700
