FECHA,Suma_FOB_miles,Name
01-Jan-22,19.47,Cacao
01-Jan-21,9.75,Cacao
01-Jan-20,14.91,Cacao
01-Jan-19,10.31,Cacao
01-Jan-18,8.55,Cacao
01-Jan-17,7.67,Cacao
01-Jan-16,48.13,Cacao
01-Jan-15,40.5,Cacao
01-Jan-14,45.76,Cacao
01-Jan-13,10.35,Cacao
01-Jan-12,28.91,Cacao
01-Jan-11,42.02,Cacao
01-Jan-10,31.63,Cacao
01-Jan-09,35.75,Cacao
01-Jan-08,25.3,Cacao
01-Jan-07,21.08,Cacao
01-Jan-06,23.25,Cacao
01-Jan-05,17.35,Cacao
01-Jan-04,21.26,Cacao
01-Jan-03,18.19,Cacao
01-Jan-02,16.91,Cacao
01-Jan-01,20.82,Cacao
