Fecha,Cacao_exp,Peso_cacao,Name
1-Jan-01,98581,124665900,Cacao
01-feb-01,119758.6,128795400,Cacao
01-mar-01,188826.3,186582900,Cacao
1-Apr-01,280608.8,296644800,Cacao
01-may-01,150789.3,171568500,Cacao
01-jun-01,136451.3,155574300,Cacao
01-jul-01,140687.5,163047000,Cacao
1-Aug-01,152391.3,170146700,Cacao
01-sep-01,102140.8,116044200,Cacao
01-oct-01,145450,146866500,Cacao
01-nov-01,251011.2,245584800,Cacao
1-Dec-01,149269.2,123557300,Cacao
1-Jan-02,126094.1,101547300,Cacao
01-feb-02,162004.9,122557800,Cacao
01-mar-02,411604.7,291387000,Cacao
1-Apr-02,634638.4,450708000,Cacao
01-may-02,270445.2,181591800,Cacao
01-jun-02,185777,132159900,Cacao
01-jul-02,162061.5,105052500,Cacao
1-Aug-02,214059.3,127112100,Cacao
01-sep-02,180741.2,94550700,Cacao
01-oct-02,185170.9,91038600,Cacao
01-nov-02,190557.7,110551800,Cacao
1-Dec-02,196709.7,110055000,Cacao
1-Jan-03,382061.3,184358700,Cacao
01-feb-03,482446.1,221103600,Cacao
01-mar-03,357909.6,184809600,Cacao
1-Apr-03,392424.7,215618100,Cacao
01-may-03,281013.3,156602400,Cacao
01-jun-03,225861.5,153090300,Cacao
01-jul-03,215314.1,142077900,Cacao
1-Aug-03,206899.3,147577200,Cacao
01-sep-03,270860.7,168587700,Cacao
01-oct-03,289770.1,201107400,Cacao
01-nov-03,477462.5,329189700,Cacao
1-Dec-03,578607.8,384744000,Cacao
1-Jan-04,543566.5,344787600,Cacao
01-feb-04,288580.9,194024300,Cacao
01-mar-04,400084.5,287455600,Cacao
1-Apr-04,555808,414151800,Cacao
01-may-04,369023.4,281237100,Cacao
01-jun-04,219259.9,172115500,Cacao
01-jul-04,222452.6,166083000,Cacao
1-Aug-04,312214.7,198099000,Cacao
01-sep-04,276844.2,183371300,Cacao
01-oct-04,175479.1,128064000,Cacao
01-nov-04,211606.9,155581200,Cacao
1-Dec-04,318868,212154300,Cacao
1-Jan-05,170015.9,121938100,Cacao
01-feb-05,192998.5,130596300,Cacao
01-mar-05,637199.7,382204800,Cacao
1-Apr-05,670581.3,449122000,Cacao
01-may-05,469108.9,333180300,Cacao
01-jun-05,344008.2,250594200,Cacao
01-jul-05,302980.9,218647200,Cacao
1-Aug-05,347031.9,258101400,Cacao
01-sep-05,331531.4,247116600,Cacao
01-oct-05,264049.9,203991600,Cacao
01-nov-05,379707.9,297702300,Cacao
1-Dec-05,294489.8,218193500,Cacao
1-Jan-06,350949.5,243632100,Cacao
01-feb-06,289001.2,202611800,Cacao
01-mar-06,477305.5,345414000,Cacao
1-Apr-06,435807.6,310651800,Cacao
01-may-06,171656.5,120563700,Cacao
01-jun-06,149553.2,108060900,Cacao
01-jul-06,138899.5,93060300,Cacao
1-Aug-06,166395,109068300,Cacao
01-sep-06,221525.9,151110000,Cacao
01-oct-06,172226.5,106812000,Cacao
01-nov-06,291725.6,172083200,Cacao
1-Dec-06,350839.1,190053600,Cacao
1-Jan-07,320641.6,143582100,Cacao
01-feb-07,291672,115071300,Cacao
01-mar-07,680413.7,271687500,Cacao
1-Apr-07,1085902.7,438793300,Cacao
01-may-07,530393.4,234131800,Cacao
01-jun-07,503879,225295800,Cacao
01-jul-07,619774.1,274259900,Cacao
1-Aug-07,312257.5,145107000,Cacao
01-sep-07,193525.3,97144500,Cacao
01-oct-07,233987.3,112062900,Cacao
01-nov-07,384922,190679400,Cacao
1-Dec-07,641685.2,299983200,Cacao
1-Jan-08,464968.4,209180400,Cacao
