Anio,Suma_FOB_miles
01-ene-01,22501616700.00
01-ene-02,24008833500.00
01-ene-03,22587302500.00
01-ene-04,21014736800.00
01-ene-05,22946524800.00
01-ene-06,29427271800.00
01-ene-07,25026159500.00
01-ene-08,28818820800.00
01-ene-09,42209464200.00
01-ene-10,42349539304.00
01-ene-11,39534815505.00
01-ene-12,33042876550.00
01-ene-13,36446909201.00
01-ene-14,37475298661.00
01-ene-15,42183501521.00
01-ene-16,41372338576.10
01-ene-17,43883635863.00
01-ene-18,38552916745.63
01-ene-19,39920732804.00
01-ene-20,52703727386.01
01-ene-21,43885052209.00
01-ene-22,4452954792.00
