FECHA,Suma_FOB_miles
01-ene-01,22501616700
01-ene-02,24008833500
01-ene-03,22587302500
01-ene-04,21014736800
01-ene-05,22946524800
01-ene-06,29427271800
01-ene-07,25026159500
01-ene-08,28818820800
01-ene-09,42209464200
01-ene-10,42349539304
01-ene-11,39534815505
01-ene-12,33042876550
01-ene-13,36446909201
01-ene-14,37475298661
01-ene-15,42183501521
01-ene-16,41372338576
01-ene-17,43883635863
01-ene-18,38552916746
01-ene-19,39920732804
01-ene-20,52703727386
01-ene-21,43885052209
01-ene-22,4452954792
