Anio,Mes,FECHA,Pais_Destino,Prod_Principal,TRADICIONAL_Y_NO_TRAD,Codigo_Subpartida, Suma_FOB_miles ,Suma_TM_Peso_Neto
2022,1,2022/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,947,347,296.00",2287623134
2022,1,2022/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$2,316,431,074.00",4537491161
2022,1,2022/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$189,176,422.00",340936777
2021,1,2021/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$974,903,641.00",1559138800
2021,1,2021/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$2,851,068,945.00",5974397239
2021,1,2021/01/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$952,083,454.00",1841135336
2021,2,2021/02/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$971,366,854.00",1416740159
2021,2,2021/02/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,854,688,924.00",3572416562
2021,2,2021/02/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$656,657,292.00",1269194920
2021,3,2021/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,114,113,658.00",1584997471
2021,3,2021/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,280,253,437.00",1925500208
2021,3,2021/03/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$836,106,463.00",1669079973
2021,4,2021/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,353,133,639.00",1572138104
2021,4,2021/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,597,375,873.00",3238513777
2021,4,2021/04/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$1,040,809,775.00",1957353935
2021,5,2021/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,923,065,541.00",1631305800
2021,5,2021/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,415,822,933.00",3012133320
2021,5,2021/05/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$610,312,341.00",1218869215
2021,6,2021/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901110,"$1,777,325,005.00",1517969895
2021,6,2021/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901190,"$1,200,483,489.00",2607170982
2021,6,2021/06/01,ESTADOS UNIDOS,Banano,TRADICIONAL,803901200,"$429,876,487.00",866515028
