Fecha,Cacao_exp,Peso_cacao
1-Jan-01,98581.00,124665900.00
1-Feb-01,119758.60,128795400.00
1-Mar-01,188826.30,186582900.00
1-Apr-01,280608.80,296644800.00
1-May-01,150789.30,171568500.00
1-Jun-01,136451.30,155574300.00
1-Jul-01,140687.50,163047000.00
1-Aug-01,152391.30,170146700.00
1-Sep-01,102140.80,116044200.00
1-Oct-01,145450.00,146866500.00
1-Nov-01,251011.20,245584800.00
1-Dec-01,149269.20,123557300.00
1-Jan-02,126094.10,101547300.00
1-Feb-02,162004.90,122557800.00
1-Mar-02,411604.70,291387000.00
1-Apr-02,634638.40,450708000.00
1-May-02,270445.20,181591800.00
1-Jun-02,185777.00,132159900.00
1-Jul-02,162061.50,105052500.00
1-Aug-02,214059.30,127112100.00
1-Sep-02,180741.20,94550700.00
1-Oct-02,185170.90,91038600.00
1-Nov-02,190557.70,110551800.00
1-Dec-02,196709.70,110055000.00
1-Jan-03,382061.30,184358700.00
1-Feb-03,482446.10,221103600.00
1-Mar-03,357909.60,184809600.00
1-Apr-03,392424.70,215618100.00
1-May-03,281013.30,156602400.00
1-Jun-03,225861.50,153090300.00
1-Jul-03,215314.10,142077900.00
1-Aug-03,206899.30,147577200.00
1-Sep-03,270860.70,168587700.00
1-Oct-03,289770.10,201107400.00
1-Nov-03,477462.50,329189700.00
1-Dec-03,578607.80,384744000.00
1-Jan-04,543566.50,344787600.00
1-Feb-04,288580.90,194024300.00
1-Mar-04,400084.50,287455600.00
1-Apr-04,555808.00,414151800.00
1-May-04,369023.40,281237100.00
1-Jun-04,219259.90,172115500.00
1-Jul-04,222452.60,166083000.00
1-Aug-04,312214.70,198099000.00
1-Sep-04,276844.20,183371300.00
1-Oct-04,175479.10,128064000.00
1-Nov-04,211606.90,155581200.00
1-Dec-04,318868.00,212154300.00
1-Jan-05,170015.90,121938100.00
1-Feb-05,192998.50,130596300.00
1-Mar-05,637199.70,382204800.00
1-Apr-05,670581.30,449122000.00
1-May-05,469108.90,333180300.00
1-Jun-05,344008.20,250594200.00
1-Jul-05,302980.90,218647200.00
1-Aug-05,347031.90,258101400.00
1-Sep-05,331531.40,247116600.00
1-Oct-05,264049.90,203991600.00
1-Nov-05,379707.90,297702300.00
1-Dec-05,294489.80,218193500.00
1-Jan-06,350949.50,243632100.00
1-Feb-06,289001.20,202611800.00
1-Mar-06,477305.50,345414000.00
1-Apr-06,435807.60,310651800.00
1-May-06,171656.50,120563700.00
1-Jun-06,149553.20,108060900.00
1-Jul-06,138899.50,93060300.00
1-Aug-06,166395.00,109068300.00
1-Sep-06,221525.90,151110000.00
1-Oct-06,172226.50,106812000.00
1-Nov-06,291725.60,172083200.00
1-Dec-06,350839.10,190053600.00
1-Jan-07,320641.60,143582100.00
1-Feb-07,291672.00,115071300.00
1-Mar-07,680413.70,271687500.00
1-Apr-07,1085902.70,438793300.00
1-May-07,530393.40,234131800.00
1-Jun-07,503879.00,225295800.00
1-Jul-07,619774.10,274259900.00
1-Aug-07,312257.50,145107000.00
1-Sep-07,193525.30,97144500.00
1-Oct-07,233987.30,112062900.00
1-Nov-07,384922.00,190679400.00
1-Dec-07,641685.20,299983200.00
1-Jan-08,464968.40,209180400.00
1-Feb-08,480153.90,199628400.00
1-Mar-08,654924.70,249755400.00
1-Apr-08,550513.80,234689700.00
1-May-08,783312.80,291835600.00
1-Jun-08,629093.80,232797800.00
1-Jul-08,692631.00,229779200.00
